,white_first_move,black_move_1,black_move_1_prob,black_move_2,black_move_2_prob,black_move_3,black_move_3_prob,black_move_4,black_move_4_prob,black_move_5,black_move_5_prob,black_first_move,score,rating_diff,turns
0,e4,e5,0.3431797097043529,d5,0.15579544118692712,c5,0.12894752205318183,e6,0.10468039652048951,Nf6,0.05444931685515322,e5,43.603159798409806,108,3
1,e4,e5,0.343107788325278,c5,0.182095178621361,d5,0.1776501105762932,e6,0.09375758402663775,Nf6,0.08309864991139275,e5,39.00240498255809,-366,44
2,e4,e5,0.35321960168696503,d5,0.18727908784681718,e6,0.12062330507171355,c5,0.11207669337155356,Nf6,0.0642966086144187,e5,42.17571168752083,534,65
3,e4,e5,0.3440364074563693,c5,0.18070140651780134,d5,0.16516549657385707,e6,0.0925228127586236,Nf6,0.0735279842451526,d6,0.0,-415,16
4,e4,e5,0.3531002373844623,d5,0.1788866575366882,e6,0.11702684678361835,c5,0.1168467244956436,Nf6,0.06144525026546419,d5,21.622799646648716,422,47
5,d4,e5,0.29670453709282335,c5,0.1717648286427324,d5,0.16873601297392918,Nf6,0.09429966305907247,e6,0.09295418130742794,Nf6,11.437759493701662,-422,32
6,e4,e5,0.3488207408877721,d5,0.16628654345025656,e6,0.11524696143475735,c5,0.11185683381239549,Nf6,0.05409641346573464,e5,43.80477942651588,422,25
7,d4,e5,0.29532778185836805,d5,0.17898398606930416,c5,0.1766824854180484,Nf6,0.10587373069454996,e6,0.09282633179854748,Nf6,12.460214070048407,-422,55
8,e4,e5,0.3398255490450181,d5,0.21113709326403324,c5,0.14064365381582666,e6,0.10829201859744689,Nf6,0.09372183475583434,c6,0.0,220,118
9,e4,e5,0.332071640775673,d5,0.20073056558298563,c5,0.17528830789102756,Nf6,0.10219084952425293,e6,0.0948174082539139,d6,0.0,-220,102
10,e4,e5,0.3438420896962955,d5,0.20178996774273705,c5,0.14649924185449129,e6,0.10659251066451904,Nf6,0.08830905974095316,Nc6,0.0,120,96
11,e4,e5,0.35128602911242346,d5,0.17969418188600436,c5,0.14746687771181918,e6,0.10560564323022707,Nf6,0.0720550194359943,e5,41.03292238011141,24,45
12,e4,e5,0.3359979545516411,d5,0.20363509052032217,c5,0.16277105952882076,e6,0.09953847534207981,Nf6,0.0983786318640832,e5,37.3197865545445,-71,105
13,Nf3,e5,0.5314807276241137,d5,0.17543818302482728,c5,0.1451832340442569,e6,0.08741037524101518,Nf6,0.030555944899820515,Nc6,0.0,328,94
14,d4,e5,0.30181472913197027,d5,0.17363699056961746,c5,0.13730841021094853,e6,0.1049755277986542,Nf6,0.08396985047802226,e6,13.094026014085792,0,42
15,e4,e5,0.34876923237811275,d5,0.16435190674673045,c5,0.14231534567860946,e6,0.10379165936381535,Nf6,0.06178845587859995,e5,42.480168166956425,0,15
16,e4,e5,0.35232730779961857,d5,0.18052942547239956,c5,0.13953666353994065,e6,0.1085962428913397,Nf6,0.06985875733191954,e5,41.40894065585636,125,47
17,d4,e5,0.2947114313115132,d5,0.20193860426573665,c5,0.14804941883118528,Nf6,0.11478726404013342,e6,0.10305004448534331,Nf6,13.308101054114548,-15,105
18,e4,e5,0.30602813779412463,d5,0.2204594774268894,c5,0.18011041337798092,Nf6,0.13277278074320215,e6,0.08750305661578864,e5,33.017236652564826,-251,165
19,d4,e5,0.29490515999119105,d5,0.21048976666046704,c5,0.1318655394203612,Nf6,0.11383000734184037,e6,0.10949286756670439,d5,24.45896366302318,220,123
20,d4,e5,0.3034086494225097,d5,0.1868426366727135,e6,0.11872281835839824,c5,0.10897708181391359,Nf6,0.08097337853722214,e6,14.860328945751213,464,73
21,d4,e5,0.30267286221272427,d5,0.18786066186472142,c5,0.1340443836641552,e6,0.10866916588180535,Nf6,0.0932675581650979,d5,22.72926027434114,113,71
22,e4,e5,0.3471800796818212,d5,0.1905475458360045,c5,0.15409143194579691,e6,0.10390219989359777,Nf6,0.08235728433932288,e5,39.538613369486455,-9,70
23,e4,e5,0.350613921281281,d5,0.18653411887252158,c5,0.14519054526348826,e6,0.10713666265736499,Nf6,0.07583509454252352,e5,40.5188640437175,82,60
24,e4,e5,0.35100234451282825,d5,0.173492570016513,c5,0.1484462173054504,e6,0.10422432449973894,Nf6,0.06854258389815117,e5,41.503962102128774,-19,32
25,f4,e5,0.399679920763809,d5,0.16711574748904073,c5,0.1519184988082408,e6,0.10233946856271049,Nf6,0.052343589788338314,d5,19.133991112713005,6,17
26,e4,e5,0.34621191444392013,d5,0.17937339985627848,c5,0.17053960664320617,e6,0.09763947850156,Nf6,0.08009833288701214,e5,39.61856955726035,-238,46
27,e4,e5,0.3510744662420963,d5,0.1897124272593808,c5,0.13830771895203678,e6,0.11001384943374039,Nf6,0.07541580020693466,e5,40.60897786623912,181,67
28,e4,e5,0.3482482775112376,d5,0.18437334067027458,c5,0.15815142105682212,e6,0.10222530723680667,Nf6,0.07920515243964528,e5,39.927411199855925,-80,56
